Date,Open,High,Low,Close,Volume,Adj Close
10/21/2014,15115.29004,15115.29004,14761.83984,14804.28027,143000,14804.28027
10/20/2014,14822.83984,15111.23047,14819.69043,15111.23047,162000,15111.23047
10/17/2014,14796.32031,14830.66992,14529.03027,14532.50977,178600,14532.50977
10/16/2014,14805.16016,14807.08008,14672.54981,14738.37988,198900,14738.37988
10/15/2014,15009.75,15084.61035,14916.65039,15073.51953,152600,15073.51953
10/14/2014,14936.50977,14936.50977,14936.50977,14936.50977,0,14936.50977
10/13/2014,15300.54981,15300.54981,15300.54981,15300.54981,0,15300.54981
10/10/2014,15292.87988,15345.78027,15221.83008,15300.54981,186100,15300.54981
10/9/2014,15681.53027,15732.32031,15461.08984,15478.92969,141000,15478.92969
10/8/2014,15574.59961,15643.62988,15520.80957,15595.98047,150200,15595.98047
10/7/2014,15841.16992,15913.51953,15755.57031,15783.83008,134800,15783.83008
10/6/2014,15882.28027,15970.65039,15808.21973,15890.9502,127600,15890.9502
10/3/2014,15616.48047,15708.65039,15559.07031,15708.65039,139700,15708.65039
10/2/2014,15895.2002,15922.50977,15646.40039,15661.99023,175400,15661.99023
10/1/2014,16173.38965,16225.95996,16081.00977,16082.25,137100,16082.25
9/30/2014,16252.71973,16252.71973,16058.71973,16173.51953,152500,16173.51953
9/29/2014,16339.03027,16344.32031,16262,16310.63965,107900,16310.63965
9/26/2014,16087.9502,16251.66992,16087.9502,16229.86035,127400,16229.86035
9/25/2014,16327.19043,16374.13965,16303.91016,16374.13965,148700,16374.13965
9/24/2014,16105.55957,16203.94043,16094.58984,16167.4502,133300,16167.4502
9/22/2014,16281.36035,16299.12988,16170.11035,16205.90039,129100,16205.90039
9/19/2014,16177.94043,16364.08008,16170.86035,16321.16992,171300,16321.16992
9/18/2014,16036.46973,16106.11035,16003.45996,16067.57031,143100,16067.57031
9/17/2014,15948.15039,15969.41016,15888.66992,15888.66992,114700,15888.66992
9/16/2014,15896.05957,15938.30957,15871.12012,15911.53027,121300,15911.53027
9/15/2014,15948.29004,15948.29004,15948.29004,15948.29004,0,15948.29004
9/12/2014,15885.04004,15984.90039,15885.04004,15948.29004,183400,15948.29004
9/11/2014,15880.91016,15925.50977,15854.29981,15909.2002,130300,15909.2002
9/10/2014,15688.54981,15795.59961,15664.79004,15788.78027,109700,15788.78027
9/9/2014,15795.82031,15795.82031,15736.12988,15749.15039,106100,15749.15039
9/8/2014,15718.12988,15730.33008,15656.40039,15705.11035,95600,15705.11035
9/5/2014,15792.63965,15792.63965,15641.37012,15668.67969,109600,15668.67969
9/4/2014,15701.61035,15732.75977,15663.58984,15676.17969,110900,15676.17969
9/3/2014,15797.79004,15829.37988,15723.54004,15728.34961,137800,15728.34961
9/2/2014,15526.94043,15737.36035,15516.5,15668.59961,122600,15668.59961
9/1/2014,15454.58984,15478.76953,15440.99023,15476.59961,74800,15476.59961
8/29/2014,15423.87988,15447.80957,15356,15424.58984,111000,15424.58984
8/28/2014,15482.26953,15487.99023,15423.90039,15459.86035,99300,15459.86035
8/27/2014,15556.55957,15588.21973,15465.99023,15534.82031,102200,15534.82031
8/26/2014,15609.63965,15613.33984,15519.41992,15521.21973,86400,15521.21973
8/25/2014,15609.42969,15628.61035,15553.50977,15613.25,81900,15613.25
8/22/2014,15618.04981,15628.78027,15524.42969,15539.19043,102300,15539.19043
8/21/2014,15530.98047,15601.99023,15525.78027,15586.2002,117700,15586.2002
8/20/2014,15485.92969,15492.87988,15433.71973,15454.4502,92700,15454.4502
8/19/2014,15451.94043,15476.04981,15429.11035,15449.79004,94200,15449.79004
8/18/2014,15318.5,15365.34961,15303.38965,15322.59961,77300,15322.59961
8/15/2014,15317.15039,15328.33984,15276.99023,15318.33984,88700,15318.33984
8/14/2014,15284.37988,15338.84961,15272.90039,15314.57031,92700,15314.57031
8/13/2014,15111.75977,15235.90039,15108.53027,15213.62988,96300,15213.62988
8/12/2014,15164.73047,15235.98047,15125.92969,15161.30957,89300,15161.30957
8/11/2014,15022.63965,15161.54004,14973.70996,15130.51953,114600,15130.51953
8/8/2014,15063.73047,15074.32031,14753.83984,14778.37012,177200,14778.37012
8/7/2014,15138.71973,15243.05957,15061.99023,15232.37012,143100,15232.37012
8/6/2014,15260,15271.13965,15121.42969,15159.79004,135500,15159.79004
8/5/2014,15506.87012,15507.32031,15313.83984,15320.30957,131500,15320.30957
8/4/2014,15474.65039,15535.62012,15440.20996,15474.5,123600,15474.5
8/1/2014,15511.54004,15602.12988,15501.15039,15523.11035,143300,15523.11035
7/31/2014,15732.78027,15759.66016,15618.84961,15620.76953,154100,15620.76953
7/30/2014,15616.88965,15666.62012,15594.88965,15646.23047,117500,15646.23047
7/29/2014,15564.79004,15632.7002,15556.01953,15618.07031,98800,15618.07031
7/28/2014,15426.98047,15556.62012,15426.98047,15529.40039,115600,15529.40039
7/25/2014,15342.45996,15457.87012,15341.69043,15457.87012,119900,15457.87012
7/24/2014,15350.28027,15383.11035,15232.13965,15284.41992,122000,15284.41992
7/23/2014,15367.16016,15376.2002,15317.37012,15328.55957,100100,15328.55957
7/22/2014,15296.41992,15392.01953,15287.92969,15343.28027,115400,15343.28027
7/21/2014,15215.70996,15215.70996,15215.70996,15215.70996,0,15215.70996
7/18/2014,15174.08008,15220.5,15110.4502,15215.70996,92200,15215.70996
7/17/2014,15422.87012,15465.74023,15347.84961,15370.25977,102500,15370.25977
7/16/2014,15369.66016,15423.95996,15355,15379.29981,98200,15379.29981
7/15/2014,15354.42969,15441.54004,15346.08984,15395.16016,101000,15395.16016
7/14/2014,15199.17969,15324.9502,15179.49023,15296.82031,96300,15296.82031
7/11/2014,15102.58984,15204.00977,15101.49023,15164.04004,123600,15164.04004
7/10/2014,15318.29981,15326.78027,15215.42969,15216.46973,112900,15216.46973
7/9/2014,15194.32031,15302.65039,15185.32031,15302.65039,118300,15302.65039
7/8/2014,15304.26953,15389.88965,15225.11035,15314.41016,117700,15314.41016
